event_id,company_id,event_type,event_date,is_major,expected_impact
EVT0040,CMP019,M&A,2023-03-18 20:06:46.955088758,False,High
EVT0041,CMP021,Restructuring,2024-04-30 04:29:46.122098493,True,Low
EVT0042,CMP054,Earnings,2023-01-25 12:50:47.976515222,True,Low
EVT0043,CMP044,M&A,2023-07-21 05:07:33.941930204,True,High
EVT0044,CMP033,Dividend,2023-03-10 18:54:26.010344439,True,Low
EVT0045,CMP033,Earnings,2023-05-20 05:32:23.266658475,True,Medium
EVT0046,CMP054,Earnings,2024-04-11 06:33:56.138263608,True,Medium
EVT0047,CMP027,Earnings,2024-04-03 18:54:38.020284605,True,Medium
EVT0048,CMP014,Dividend,2023-11-04 08:52:55.472465552,True,Low
EVT0049,CMP009,M&A,2023-03-07 19:48:46.901145187,False,Medium
EVT0050,CMP020,Dividend,2023-11-13 08:42:39.658927805,False,Medium
EVT0051,CMP040,Restructuring,2023-09-15 12:05:24.557846281,False,Low
EVT0052,CMP029,Dividend,2024-06-09 22:26:39.688930465,True,Medium
EVT0053,CMP026,Regulatory,2024-02-27 16:32:46.232330594,True,Low
EVT0054,CMP029,Dividend,2023-12-25 20:13:56.077479205,True,Low
EVT0055,CMP059,Restructuring,2023-12-22 11:55:33.895140657,True,High
EVT0056,CMP060,Restructuring,2024-12-06 09:31:17.273289138,True,High
EVT0057,CMP010,Dividend,2024-07-06 02:16:29.151280032,True,Medium
EVT0058,CMP007,Restructuring,2023-12-29 19:04:54.837341186,True,Low
EVT0059,CMP015,Regulatory,2023-12-16 19:58:48.640133598,True,High
EVT0060,CMP052,M&A,2023-01-20 07:54:49.877506656,True,Medium
EVT0061,CMP028,M&A,2024-11-19 00:45:44.256106852,False,High
EVT0062,CMP052,M&A,2023-08-21 23:55:40.747309018,True,High
EVT0063,CMP039,Restructuring,2023-07-06 20:03:09.772382275,False,Medium
EVT0064,CMP034,M&A,2024-12-30 13:38:39.742051213,True,High
EVT0065,CMP017,Restructuring,2024-06-08 15:26:34.961133372,True,Low
EVT0066,CMP021,Dividend,2023-02-04 13:48:47.909532695,True,High
EVT0067,CMP009,Regulatory,2023-02-15 04:14:00.806957159,True,Low
EVT0068,CMP032,Earnings,2023-01-19 14:47:14.642097605,True,High
EVT0069,CMP017,Dividend,2024-03-13 17:19:23.230075679,True,Low
EVT0070,CMP018,Dividend,2023-02-22 05:48:36.147907425,True,Medium
EVT0071,CMP003,Regulatory,2024-11-12 08:57:50.442923468,True,High
EVT0072,CMP048,Restructuring,2024-11-14 22:36:09.292310343,True,High
EVT0073,CMP057,M&A,2024-02-03 14:52:02.097934889,False,High
EVT0074,CMP030,M&A,2024-03-26 03:30:50.681005416,True,Medium
EVT0075,CMP033,Earnings,2023-08-02 01:59:23.693000560,True,Low
EVT0076,CMP056,Regulatory,2023-02-16 16:47:56.194774620,True,Medium
EVT0077,CMP031,Earnings,2024-06-22 08:18:25.199138191,True,Medium
EVT0078,CMP038,Dividend,2023-03-16 07:17:25.882378029,True,Medium
EVT0079,CMP026,Dividend,2023-03-04 10:58:11.534312094,True,Medium
EVT0080,CMP031,M&A,2023-08-16 04:37:43.943728808,False,Medium
EVT0081,CMP032,Earnings,2023-01-10 02:23:54.097294899,True,Medium
EVT0082,CMP043,Earnings,2023-11-13 20:18:14.356982366,True,Medium
EVT0083,CMP037,Restructuring,2024-05-31 14:34:10.360570604,True,Low
EVT0084,CMP031,M&A,2024-08-07 23:37:59.802644541,False,High
EVT0085,CMP005,Earnings,2024-03-17 03:27:50.265205567,False,High
EVT0086,CMP055,Dividend,2024-09-10 05:14:09.738800695,False,High
EVT0087,CMP054,Earnings,2023-10-24 17:55:06.995999184,False,Medium
EVT0088,CMP012,Restructuring,2024-09-11 14:29:12.948934382,False,High
EVT0089,CMP018,Earnings,2024-01-05 17:24:44.639753779,True,Low
EVT0090,CMP059,Earnings,2023-06-12 19:35:34.665108488,False,Medium
EVT0091,CMP020,Earnings,2024-11-20 05:25:54.226168913,True,Medium
EVT0092,CMP049,M&A,2023-07-20 17:29:22.954654614,True,Medium
EVT0093,CMP048,M&A,2023-01-20 03:03:00.010692487,True,High
EVT0094,CMP052,Dividend,2023-06-27 03:38:57.237259460,True,Low
EVT0095,CMP001,M&A,2023-09-25 16:21:57.863628486,True,High
EVT0096,CMP029,Earnings,2023-09-14 11:38:47.224420465,True,Medium
EVT0097,CMP034,Earnings,2024-01-19 00:10:29.155624952,True,Low
EVT0098,CMP051,Earnings,2024-10-06 16:22:58.703769770,False,Medium
EVT0099,CMP014,Regulatory,2023-08-02 09:45:56.660262946,True,Low
EVT0100,CMP019,Earnings,2024-01-16 03:54:03.785200700,False,High
EVT0101,CMP011,Regulatory,2023-09-06 07:14:04.087039773,True,Low
EVT0102,CMP046,Earnings,2024-08-22 21:27:50.400786502,False,Medium
EVT0103,CMP060,Earnings,2023-04-26 01:10:42.646130913,True,Medium
EVT0104,CMP009,Earnings,2023-03-17 13:29:59.642852016,False,High
EVT0105,CMP014,Earnings,2024-01-03 04:28:36.612202018,True,High
EVT0106,CMP019,Dividend,2024-05-05 11:28:13.809401106,True,Medium
EVT0107,CMP054,M&A,2024-08-03 17:36:05.483196832,True,High
EVT0108,CMP027,Earnings,2024-03-06 10:13:38.722444118,True,Medium
EVT0109,CMP017,Dividend,2024-07-18 21:50:52.145912014,True,Low
EVT0110,CMP020,M&A,2023-10-14 16:16:48.813554587,False,Low
EVT0111,CMP036,Regulatory,2023-01-24 23:50:29.699046734,False,High
EVT0112,CMP024,Regulatory,2023-03-26 18:03:35.547966975,False,Low
EVT0113,CMP009,Dividend,2023-01-29 06:25:11.904715248,True,High
EVT0114,CMP050,Restructuring,2023-08-29 03:05:33.922853350,True,Medium
EVT0115,CMP026,Dividend,2023-12-28 17:00:29.876498335,False,Low
EVT0116,CMP016,M&A,2023-09-18 02:40:56.329210481,False,High
EVT0117,CMP044,Dividend,2024-02-14 05:42:10.091387492,True,High
EVT0118,CMP045,Earnings,2023-12-17 20:16:20.213737110,False,High
EVT0119,CMP010,Dividend,2024-05-09 21:33:28.399162444,True,Medium
EVT0120,CMP005,Regulatory,2024-05-01 21:10:37.580271157,False,Low
EVT0121,CMP003,Earnings,2023-08-21 04:29:01.886438634,False,High
EVT0122,CMP046,Restructuring,2023-09-10 17:40:38.128534765,False,High
EVT0123,CMP038,Regulatory,2024-03-03 03:47:23.406560283,True,Medium
EVT0124,CMP048,Earnings,2024-03-11 09:29:48.614811177,True,High
EVT0125,CMP038,M&A,2023-08-18 17:32:32.952921264,True,Medium
EVT0126,CMP025,Regulatory,2023-08-30 03:10:09.691627622,False,Low
EVT0127,CMP036,Regulatory,2024-05-21 15:40:07.071676675,True,Medium
EVT0128,CMP044,Earnings,2024-04-17 14:38:15.420439464,False,Low
EVT0129,CMP024,Earnings,2023-04-09 14:05:24.352762756,False,Medium
EVT0130,CMP055,Dividend,2023-11-18 23:03:13.434886415,True,Low
EVT0131,CMP054,Earnings,2024-10-13 16:12:37.796434349,True,High
EVT0132,CMP049,Earnings,2023-01-27 12:04:31.603261464,True,High
EVT0133,CMP060,Earnings,2024-09-16 06:28:20.432652325,True,Medium
EVT0134,CMP024,Earnings,2023-04-30 02:52:52.722349672,True,High
EVT0135,CMP007,M&A,2024-01-06 06:59:45.746625351,True,Low
EVT0136,CMP030,Dividend,2023-11-06 18:22:27.245032186,True,Medium
EVT0137,CMP045,M&A,2023-01-08 09:27:57.564800494,True,Low
EVT0138,CMP047,Dividend,2024-10-30 05:45:15.616117274,True,High
EVT0139,CMP024,M&A,2023-11-29 02:17:23.938429327,True,Medium
EVT0140,CMP018,Earnings,2024-11-27 14:46:48.751845510,True,Medium
EVT0141,CMP027,Earnings,2023-07-29 07:45:11.322561230,True,High
EVT0142,CMP049,Earnings,2024-09-24 09:09:05.580892216,True,Medium
EVT0143,CMP004,Earnings,2024-11-04 08:15:55.211052409,False,Medium
EVT0144,CMP020,Earnings,2024-02-11 11:42:14.165337879,True,Low
EVT0145,CMP014,Earnings,2023-05-28 22:54:53.436392682,True,Medium
EVT0146,CMP049,Earnings,2024-05-15 05:32:06.037771977,False,High
EVT0147,CMP029,Dividend,2024-02-05 18:05:44.612146113,True,Medium
EVT0148,CMP006,M&A,2024-11-20 12:09:35.084656825,True,Medium
EVT0149,CMP016,Regulatory,2023-11-17 16:02:47.482511341,True,High
EVT0150,CMP003,Dividend,2023-07-16 00:21:32.783938857,True,Medium
EVT0151,CMP029,M&A,2023-04-11 22:47:17.758236327,True,High
EVT0152,CMP060,Earnings,2024-05-25 00:03:36.444206248,False,High
EVT0153,CMP035,M&A,2024-12-12 02:24:01.888343288,False,Medium
EVT0154,CMP053,Earnings,2023-01-21 16:34:58.297479250,True,High
EVT0155,CMP045,M&A,2024-06-24 12:36:09.416566017,True,Medium
EVT0156,CMP053,M&A,2024-11-07 15:49:11.827363301,True,High
EVT0157,CMP019,M&A,2023-02-24 14:10:20.926787378,True,Medium
EVT0158,CMP058,Earnings,2023-03-22 10:10:45.084934035,True,High
EVT0159,CMP015,Dividend,2024-05-20 03:05:18.113420025,False,Low
EVT0160,CMP027,Restructuring,2024-04-18 00:19:06.044499162,False,High
EVT0161,CMP041,Dividend,2023-02-20 05:51:22.738826250,True,Medium
EVT0162,CMP018,M&A,2024-09-01 03:05:11.823677740,False,High
EVT0163,CMP016,M&A,2024-01-18 02:23:08.931273052,True,High
EVT0164,CMP008,Earnings,2024-10-24 06:05:52.731086828,True,Medium
EVT0165,CMP001,Dividend,2024-10-02 22:24:00.845971853,False,Low
EVT0166,CMP031,M&A,2024-08-16 03:08:10.009532057,True,Low
EVT0167,CMP060,Earnings,2024-01-12 14:32:55.183928147,False,High
EVT0168,CMP014,Earnings,2023-07-03 17:58:13.596420191,False,High
EVT0169,CMP027,Regulatory,2024-01-05 08:41:26.982682954,False,Medium
EVT0170,CMP057,M&A,2023-03-15 14:12:55.220713879,True,Medium
EVT0171,CMP047,M&A,2024-04-25 22:59:04.276515940,True,High
EVT0172,CMP001,M&A,2023-04-08 19:16:51.171211972,False,Medium
EVT0173,CMP031,M&A,2024-01-09 03:45:01.090845611,False,Medium
EVT0174,CMP009,M&A,2023-02-09 16:46:19.874649537,True,Medium
EVT0175,CMP015,Earnings,2023-08-07 15:27:31.786602465,False,High
EVT0176,CMP015,M&A,2023-06-19 10:02:58.815364864,True,Medium
EVT0177,CMP037,Dividend,2024-03-28 14:57:09.461910484,True,High
EVT0178,CMP012,Earnings,2024-07-28 08:30:11.500683676,False,Medium
EVT0179,CMP016,Dividend,2023-02-11 19:56:51.948780068,True,High
EVT0180,CMP014,Earnings,2024-09-12 16:58:12.590120394,True,Medium
EVT0181,CMP022,Dividend,2024-09-20 08:39:00.056176819,False,Medium
EVT0182,CMP040,M&A,2023-09-07 20:33:15.053494177,False,Medium
EVT0183,CMP024,Dividend,2024-04-26 01:45:04.448880161,False,High
EVT0184,CMP020,M&A,2023-10-21 21:46:49.135599969,True,High
EVT0185,CMP032,Regulatory,2023-04-23 13:25:27.321464438,False,Medium
EVT0186,CMP037,M&A,2024-01-21 22:09:56.063612499,True,Medium
EVT0187,CMP001,Dividend,2023-03-05 01:01:17.390164710,True,Low
EVT0188,CMP054,Dividend,2024-10-03 06:49:55.785135750,True,High
EVT0189,CMP055,Earnings,2024-11-05 17:33:23.705482834,False,Low
EVT0190,CMP037,Earnings,2024-08-22 18:39:43.777583253,False,High
EVT0191,CMP035,M&A,2024-02-15 15:29:33.632321087,False,High
EVT0192,CMP042,Earnings,2024-02-12 01:07:38.339464699,True,High
EVT0193,CMP027,M&A,2024-12-19 18:19:16.456973850,True,Medium
EVT0194,CMP022,M&A,2023-06-30 23:14:15.381032372,True,High
EVT0195,CMP022,M&A,2023-02-25 10:36:55.334373248,True,High
EVT0196,CMP010,Earnings,2024-02-15 05:12:17.933373484,True,Medium
EVT0197,CMP051,Restructuring,2023-08-29 00:19:25.225078840,True,Medium
EVT0198,CMP020,M&A,2023-08-24 07:22:31.078548966,False,High
EVT0199,CMP018,Dividend,2023-01-06 04:08:07.458206967,False,High
EVT0200,CMP058,Earnings,2024-03-11 06:06:52.039007233,False,Medium
EVT0201,CMP031,M&A,2023-07-12 17:52:13.669927532,True,High
EVT0202,CMP038,Earnings,2023-05-18 03:16:54.351608777,True,High
EVT0203,CMP015,Dividend,2023-01-30 12:22:02.776819536,True,Medium
EVT0204,CMP017,Earnings,2023-09-23 23:36:53.351469758,True,High
EVT0205,CMP044,Regulatory,2024-10-03 15:32:04.719158645,True,Medium
EVT0206,CMP028,Earnings,2023-09-03 18:28:21.176781474,True,High
EVT0207,CMP009,M&A,2024-05-10 17:22:48.580663017,True,High
EVT0208,CMP051,Earnings,2024-07-06 06:42:10.075685099,False,High
EVT0209,CMP025,M&A,2023-08-28 12:19:34.237244271,True,High
EVT0210,CMP041,M&A,2024-08-22 19:08:44.438679473,True,High
EVT0211,CMP021,M&A,2024-05-20 01:43:53.894513818,True,High
EVT0212,CMP034,Earnings,2024-02-13 05:55:25.848626421,True,Low
EVT0213,CMP047,Earnings,2023-01-01 17:23:16.692601268,True,Low
EVT0214,CMP054,Earnings,2023-01-26 14:47:24.788283357,True,High
EVT0215,CMP013,Regulatory,2024-12-24 07:58:10.519457631,True,Medium
EVT0216,CMP041,M&A,2024-07-25 01:36:51.623216500,True,Medium
EVT0217,CMP055,Earnings,2024-11-15 10:08:36.001327321,False,Low
EVT0218,CMP039,Regulatory,2024-10-20 16:21:07.740589834,True,High
EVT0219,CMP009,Earnings,2023-01-15 22:09:39.832779581,True,High
EVT0220,CMP012,M&A,2024-08-01 01:09:52.261702615,True,High
EVT0221,CMP013,Dividend,2023-11-26 08:04:24.366271548,True,High
EVT0222,CMP007,Restructuring,2024-07-30 09:03:35.042729362,True,High
EVT0223,CMP046,Dividend,2023-01-05 21:39:37.938753028,False,Low
EVT0224,CMP058,M&A,2023-07-30 09:15:06.325321988,True,Low
EVT0225,CMP032,Regulatory,2024-07-02 11:11:33.186709015,True,High
EVT0226,CMP036,Earnings,2024-08-01 21:43:27.178679472,True,Medium
EVT0227,CMP047,Regulatory,2024-03-28 09:23:59.327808763,True,High
EVT0228,CMP025,Restructuring,2023-08-08 22:00:30.380754752,True,Medium
EVT0229,CMP029,Regulatory,2023-08-15 13:33:09.357708095,True,Medium
EVT0230,CMP036,Earnings,2024-12-06 17:42:16.714830288,True,High
EVT0231,CMP019,Earnings,2023-11-17 14:59:50.568659754,False,Low
EVT0232,CMP004,Dividend,2023-11-23 09:38:22.704979293,False,Low
EVT0233,CMP035,M&A,2024-02-08 04:52:11.223181400,False,Medium
EVT0234,CMP050,M&A,2023-10-26 22:28:51.390710729,True,Medium
EVT0235,CMP005,Regulatory,2024-02-08 10:48:20.922288110,False,Medium
EVT0236,CMP013,M&A,2023-11-12 14:30:59.784795416,True,High
EVT0237,CMP016,Earnings,2024-08-26 12:02:43.409149121,True,High
EVT0238,CMP049,M&A,2024-10-25 14:34:25.920717370,False,Medium
EVT0239,CMP031,Earnings,2024-11-11 10:34:18.307074492,False,High
EVT0240,CMP033,Earnings,2024-02-16 22:28:10.294071072,False,Low
EVT0241,CMP039,Earnings,2023-11-19 18:26:33.816400652,False,Medium
EVT0242,CMP017,Restructuring,2024-05-29 19:48:20.988118807,True,Medium
EVT0243,CMP043,Dividend,2024-09-03 23:25:45.550215428,False,High
EVT0244,CMP002,M&A,2024-02-15 23:26:55.971610541,True,Low
EVT0245,CMP007,M&A,2024-05-25 23:40:03.008373668,False,High
EVT0246,CMP049,Dividend,2024-07-01 07:15:29.608690555,False,High
EVT0247,CMP040,Restructuring,2024-05-08 18:25:08.285112711,True,High
EVT0248,CMP011,Restructuring,2024-06-28 16:15:35.626959013,True,Medium
EVT0249,CMP027,M&A,2023-06-02 07:27:58.414971933,True,Low
EVT0250,CMP004,Restructuring,2023-12-30 19:31:19.429758815,True,High
EVT0251,CMP041,M&A,2024-03-05 10:27:54.276052066,True,Low
EVT0252,CMP046,M&A,2023-01-02 19:24:48.055014163,False,High
EVT0253,CMP017,Restructuring,2024-09-16 20:27:47.355896554,True,Medium
EVT0254,CMP022,M&A,2024-03-21 07:37:45.796637501,False,High
EVT0255,CMP015,M&A,2023-04-05 06:28:06.712869076,True,Medium
EVT0256,CMP024,Earnings,2024-08-18 22:34:33.281502571,True,Medium
EVT0257,CMP017,M&A,2024-06-07 10:50:16.987338031,True,Medium
EVT0258,CMP015,M&A,2024-07-07 13:24:28.805338520,False,High
EVT0259,CMP026,Dividend,2023-10-14 04:35:02.154551000,True,Low
EVT0260,CMP052,M&A,2024-09-15 13:37:40.502266543,True,Low
EVT0261,CMP046,Earnings,2023-10-30 05:45:47.660252354,True,Medium
EVT0262,CMP018,Restructuring,2024-02-21 11:19:13.294584341,False,Medium
EVT0263,CMP057,Earnings,2023-01-01 11:15:11.378958441,True,Medium
EVT0264,CMP013,Regulatory,2024-04-15 18:10:37.088962127,True,High
EVT0265,CMP055,Earnings,2024-06-08 06:26:23.561093225,False,Low
EVT0266,CMP019,M&A,2024-02-18 23:45:21.900109112,False,High
EVT0267,CMP033,M&A,2023-12-29 11:42:37.708574953,True,Medium
EVT0268,CMP013,Restructuring,2024-08-14 06:05:13.269944870,True,High
EVT0269,CMP046,Earnings,2024-05-12 09:39:00.017046136,True,High
EVT0270,CMP020,Restructuring,2023-07-22 23:51:25.833221295,True,Medium
EVT0271,CMP053,M&A,2024-12-01 02:57:53.579380873,False,Medium
EVT0272,CMP005,M&A,2024-05-31 07:19:16.472288539,True,Low
EVT0273,CMP031,M&A,2024-12-22 04:41:24.124364451,True,Low
EVT0274,CMP010,Earnings,2024-12-10 00:29:53.739710069,True,High
EVT0275,CMP054,M&A,2024-11-01 19:17:54.037077990,True,High
EVT0276,CMP026,Earnings,2024-07-05 10:06:33.848162604,True,High
EVT0277,CMP041,Earnings,2024-03-20 21:12:09.129840728,False,Medium
EVT0278,CMP053,M&A,2023-05-06 16:25:48.099809398,True,Medium
EVT0279,CMP033,M&A,2024-02-01 15:31:00.599751250,False,Low
EVT0280,CMP004,Earnings,2024-07-12 17:23:48.020455011,False,Medium
