trade_id,trader_id,company_id,ticker,trade_timestamp,action,instrument,order_type,quantity,price,trade_value,volume_ratio,volume_zscore_30d,trade_frequency_1h,trade_frequency_24h,buy_sell_ratio,hours_to_next_event,hours_since_last_event,is_pre_event_window,peer_group_deviation,unusual_instrument_flag,after_hours_flag,consecutive_profitable_trades,price_impact_proxy,network_risk,pnl_pct,fraud_probability,anomaly_score,rule_engine_score,risk_score,severity,is_anomalous,anomaly_type
TRD0077769,TRD0184,CMP042,EKVN,2025-12-29 13:48:27,SELL,ETF,Limit,690640,217.99,150552613.6,4.761,2.6318,2,18,2.6933,23.35,1400.58,True,4.2816,False,False,3,0.2055,0.8894,1.68,0.8599,0.815,0.898,85.51,Critical,True,insider_trading
TRD0027714,TRD0351,CMP028,EZAB,2026-04-17 10:34:12,SELL,Futures,Bracket Order,144966,1913.41,277379394.06,3.2351,3.414,1,17,2.5626,38.17,48.22,True,4.1924,True,False,6,0.0285,0.6234,5.25,0.565,0.8422,0.6843,67.19,Medium,True,layering
TRD0105506,TRD0184,CMP005,QSGC,2026-06-16 09:41:23,BUY,Equity,Bracket Order,779168,148.66,115831114.88,6.2044,3.7455,1,10,2.771,44.53,2556.6,True,4.5966,False,False,6,0.6243,0.8894,6.12,0.7571,0.8878,0.8757,82.73,High,True,pump_and_dump
TRD0104353,TRD0042,CMP052,QXXS,2025-11-18 18:52:12,SELL,Equity,Stop-Loss,945993,1785.46,1689032661.78,7.6325,3.6202,2,19,3.6488,257.34,0.17,False,4.4205,False,True,0,0.4881,0.4561,-1.87,0.5488,0.5487,0.428,52.14,Medium,True,insider_trading
TRD0084128,TRD0487,CMP042,EKVN,2026-05-21 07:43:04,SELL,Equity,Stop-Loss,24840,272.3,6763932.0,1.0539,0.2023,1,7,0.9859,439.59,455.5,False,-0.5425,False,True,0,0.0836,0.1843,-9.54,0.0671,0.0233,0.0024,5.6,Low,False,none
TRD0058244,TRD0042,CMP023,OTXX,2025-11-22 18:18:46,SELL,ETF,Bracket Order,853609,3161.39,2698590956.51,6.4896,4.6707,4,23,2.2071,11.79,9999.0,True,3.3133,False,True,3,0.4172,0.4561,4.18,0.8827,0.5722,0.4882,68.77,Medium,True,wash_trading
TRD0113373,TRD0324,CMP044,UDJH,2026-01-18 16:04:14,BUY,ETF,Cover Order,71579,69.07,4943961.53,9.7211,3.4198,5,11,3.9925,651.09,9.85,False,3.7355,False,True,6,0.0528,0.186,1.81,0.8836,0.4892,0.2018,59.32,Medium,True,layering
TRD0059735,TRD0301,CMP059,RFEI,2026-01-23 09:27:11,BUY,ETF,Bracket Order,94529,96.63,9134337.27,0.8699,-0.5466,2,5,0.9332,159.92,1012.09,False,-0.0685,False,False,2,0.0762,0.3262,6.17,0.1609,0.0345,0.0815,12.76,Low,False,none
TRD0023534,TRD0390,CMP045,BPXM,2026-01-29 09:33:15,SELL,ETF,Stop-Loss,59285,249.76,14807021.6,6.6709,3.2395,5,6,3.5549,37.86,9999.0,True,4.0664,False,False,4,0.5996,0.6803,5.87,0.8565,0.8188,0.9206,83.72,High,True,layering
TRD0026186,TRD0160,CMP042,EKVN,2025-10-31 09:09:33,BUY,Options,Bracket Order,80178,233.04,18684681.12,9.3354,4.9163,1,21,2.7025,20.07,9999.0,True,3.6203,True,False,0,0.3332,0.1215,-0.01,0.9705,0.9658,0.7621,85.29,Critical,True,insider_trading
TRD0063435,TRD0204,CMP050,MCCS,2025-11-29 12:16:10,BUY,Equity,Bracket Order,23126,91.81,2123198.06,0.9808,0.0603,3,7,1.3474,359.9,9999.0,False,-0.5882,False,False,4,0.0703,0.2099,3.6,0.0754,0.0027,0.0314,6.04,Low,False,none
TRD0089836,TRD0359,CMP013,RXNL,2025-11-11 12:39:08,BUY,Options,Stop-Loss,88601,134.65,11930124.65,11.5058,3.62,3,24,3.6661,30.97,9999.0,True,4.5879,True,False,7,0.66,0.3502,5.07,0.8471,0.7878,0.5978,74.22,High,True,front_running
TRD0071383,TRD0123,CMP002,JBDO,2025-12-13 10:30:32,BUY,Equity,Limit,34898,73.13,2552090.74,0.6706,0.3958,4,19,1.8572,1649.01,250.87,False,0.5301,False,False,4,0.1124,0.241,0.24,0.0609,0.0819,0.0414,8.23,Low,False,none
TRD0076725,TRD0166,CMP048,JGWJ,2026-03-04 15:15:13,SELL,Equity,Market,50590,127.62,6456295.8,1.1617,-0.6951,3,7,1.8954,225.66,866.28,False,-0.5583,False,False,2,0.0509,0.2331,5.4,0.0585,0.0209,0.011,5.76,Low,False,none
TRD0102570,TRD0071,CMP003,NCBQ,2025-10-22 15:25:28,BUY,Options,Limit,36858,109.2,4024893.6,1.3642,-0.3754,4,3,0.8004,2665.13,9999.0,False,0.0327,True,False,1,0.0099,0.2838,1.29,0.0659,0.1815,0.0933,12.65,Low,False,none
TRD0096777,TRD0244,CMP033,CHAM,2026-05-02 10:30:00,BUY,Equity,Stop-Loss,1168,1352.81,1580082.08,1.2844,1.1775,4,1,1.6603,9999.0,211.13,False,-0.6009,False,False,3,0.0339,0.056,9.15,0.0097,0.0087,0.0046,1.33,Low,False,none
TRD0085044,TRD0402,CMP040,PWVJ,2025-11-06 12:59:34,SELL,ETF,Market,13838,54.91,759844.58,0.7794,0.4878,2,17,1.8079,2001.04,9999.0,False,-0.1721,False,False,4,0.0421,0.0902,1.25,0.0571,0.1158,0.0191,7.23,Low,False,none
TRD0029774,TRD0045,CMP025,JXOT,2026-01-31 07:37:15,SELL,Equity,Bracket Order,120386,245.69,29577636.34,8.6628,6.9846,3,10,2.6873,17.67,1494.03,True,2.4137,False,True,3,0.0972,0.788,3.36,0.6602,0.7028,0.5327,66.66,Medium,True,insider_trading
TRD0084303,TRD0385,CMP017,FNLM,2026-05-08 11:49:24,BUY,ETF,Stop-Loss,91244,628.71,57366015.24,7.8798,4.6965,2,22,2.3761,20.77,578.0,True,4.2234,False,False,1,0.8313,0.69,5.9,0.9519,0.5368,0.7001,76.34,High,True,wash_trading
TRD0067490,TRD0306,CMP004,KQZJ,2026-06-17 12:57:29,SELL,Equity,Bracket Order,216678,87.65,18991826.7,9.5402,6.9857,3,6,3.9963,9999.0,3.44,False,2.49,False,False,0,0.7725,0.078,-3.13,0.6802,0.6877,0.4905,59.38,Medium,True,insider_trading
TRD0036080,TRD0041,CMP007,PZVF,2026-03-13 12:48:32,BUY,Futures,Bracket Order,281623,46.06,12971555.38,11.8718,5.5868,2,7,2.4846,27.66,1050.79,True,3.374,True,False,2,0.8045,0.862,4.25,0.9813,0.8557,0.8635,91.4,Critical,True,wash_trading
TRD0012402,TRD0372,CMP022,TTZR,2025-12-17 13:04:30,BUY,ETF,Bracket Order,323151,435.15,140619157.65,11.5155,3.2816,5,23,2.271,33.01,9999.0,True,4.0336,False,False,7,0.8139,0.5577,2.89,0.4146,0.573,0.7542,52.74,Medium,True,insider_trading
TRD0024358,TRD0442,CMP034,SIHG,2026-04-03 12:55:32,BUY,Equity,Limit,23259,310.08,7212150.72,0.9298,0.1918,2,13,0.7548,1052.91,606.71,False,0.4545,False,False,0,0.0627,0.116,-1.61,0.0156,0.0771,0.1067,5.78,Low,False,none
TRD0118505,TRD0063,CMP030,FHSA,2025-12-08 16:48:05,BUY,Equity,Limit,375921,156.12,58688786.52,10.0347,3.9634,1,18,2.5955,33.03,9999.0,True,2.3426,False,True,4,0.8441,0.6313,1.26,0.9313,0.9198,0.686,86.11,Critical,True,front_running
TRD0012491,TRD0293,CMP017,FNLM,2026-06-08 09:12:35,SELL,ETF,Stop-Loss,15375,621.87,9561251.25,0.9106,0.2825,1,2,1.1223,9999.0,92.24,False,0.0473,False,False,3,0.0721,0.0936,2.4,0.0147,0.166,0.0079,6.7,Low,False,none
TRD0042748,TRD0056,CMP048,JGWJ,2025-12-27 12:08:24,SELL,Equity,Stop-Loss,1860,116.57,216820.2,1.1929,-0.3714,1,5,1.8494,744.83,839.27,False,-0.527,False,False,1,0.0704,0.4084,5.91,0.1341,0.0123,0.047,11.19,Low,False,none
TRD0097818,TRD0311,CMP020,IARJ,2026-03-18 13:18:11,BUY,Options,Bracket Order,88077,1072.41,94454655.57,7.2658,3.2285,2,11,1.6612,32.71,351.63,True,4.7782,True,False,4,1.0475,0.1389,3.06,0.6699,0.8709,0.4759,64.8,Medium,True,insider_trading
TRD0018381,TRD0472,CMP034,SIHG,2026-04-08 10:11:17,SELL,ETF,Stop-Loss,25506,285.19,7274056.14,0.974,-0.8299,1,19,0.5469,935.65,723.98,False,0.6721,False,False,0,0.0342,0.2599,-3.47,0.0519,0.0914,0.0972,9.13,Low,False,none
TRD0079371,TRD0062,CMP053,SVJO,2026-01-10 15:51:20,BUY,Equity,Market,2508,12.5,31350.0,0.8587,-0.5524,2,6,1.2404,117.61,9999.0,False,-1.3427,False,False,0,0.0674,0.2077,-0.72,0.0704,0.0122,0.1236,7.46,Low,False,none
TRD0071804,TRD0388,CMP040,PWVJ,2026-05-07 09:14:24,SELL,ETF,Market,47948,14.07,674628.36,1.3083,-0.8844,3,14,0.6835,9999.0,972.56,False,0.4309,False,False,5,0.09,0.1024,2.09,0.1136,0.0311,0.0784,8.24,Low,False,none
TRD0082769,TRD0164,CMP008,OIUY,2025-10-24 15:05:32,SELL,ETF,Bracket Order,32766,886.58,29049680.28,0.9592,0.2789,4,7,0.7392,1351.91,9999.0,False,-0.7508,False,False,4,0.0852,0.1522,2.91,0.0953,0.0604,0.1736,10.23,Low,False,none
TRD0002282,TRD0412,CMP051,NQWS,2026-02-01 11:33:20,BUY,ETF,Limit,425320,1.12,476358.4,5.9799,5.5362,5,5,2.1865,10.88,1571.96,True,4.9094,False,False,5,0.5613,0.5609,2.62,0.9783,0.9124,0.5699,85.55,Critical,True,pump_and_dump
TRD0059446,TRD0222,CMP053,SVJO,2026-03-01 10:06:09,SELL,Equity,Market,72544,55.64,4036348.16,4.7442,5.5808,4,22,1.8884,31.0,1076.64,True,3.6318,False,False,6,0.5166,0.7021,6.55,0.9389,0.9449,0.6605,87.53,Critical,True,insider_trading
TRD0083037,TRD0065,CMP003,NCBQ,2025-10-28 11:29:18,BUY,ETF,Bracket Order,6922,111.48,771664.56,1.1534,-0.1973,3,22,1.7587,2525.07,9999.0,False,0.6073,False,False,2,0.0501,0.1531,1.97,0.0653,0.0558,0.1067,7.74,Low,False,none
TRD0045947,TRD0210,CMP054,SCIM,2026-06-11 13:36:17,BUY,Equity,Bracket Order,52516,192.03,10084647.48,3.0008,3.2565,5,17,3.9169,54.35,387.89,False,4.723,False,False,0,0.3485,0.8977,-0.79,0.5278,0.7931,0.753,67.82,Medium,True,wash_trading
TRD0070497,TRD0147,CMP007,PZVF,2026-02-17 12:18:44,BUY,ETF,Stop-Loss,99923,13.28,1326977.44,1.0366,-1.4047,5,6,1.4536,604.16,474.29,False,0.047,False,False,6,0.0293,0.1613,4.23,0.4113,0.1055,0.0032,23.33,Low,False,none
TRD0016512,TRD0316,CMP005,QSGC,2026-06-17 12:32:19,BUY,ETF,Cover Order,219014,116.46,25506370.44,11.8736,3.91,4,8,3.1605,17.68,2583.45,True,2.7901,False,False,6,0.8976,0.1358,1.84,0.8168,0.7773,0.4527,68.22,Medium,True,insider_trading
TRD0103959,TRD0336,CMP011,CGLO,2025-11-05 13:48:55,SELL,Options,Limit,441703,53.77,23750370.31,11.1796,5.4004,2,23,3.426,20.06,48.83,True,3.4897,True,False,6,0.8867,0.7178,5.06,0.9363,0.9394,0.7644,88.96,Critical,True,spoofing
TRD0017572,TRD0203,CMP004,KQZJ,2026-06-16 07:34:17,SELL,Options,Stop-Loss,51420,122.01,6273754.2,8.7234,3.8477,2,6,1.6164,25.95,909.99,True,2.1187,True,True,1,0.5677,0.1169,4.98,0.8781,0.6069,0.4928,66.28,Medium,True,wash_trading
TRD0027243,TRD0397,CMP059,RFEI,2026-03-04 14:32:59,BUY,ETF,Cover Order,86485,84.11,7274253.35,0.5578,-0.4361,2,9,0.5522,43.65,805.17,True,0.3022,False,False,2,0.0948,0.3764,1.21,0.1497,0.2306,0.1713,19.99,Low,False,none
TRD0076767,TRD0210,CMP002,JBDO,2026-02-23 14:55:31,BUY,Equity,Limit,132784,95.66,12702117.44,5.5037,6.6808,4,8,2.3283,47.65,83.4,True,2.5517,False,False,3,0.1713,0.8977,0.76,0.9473,0.757,0.4435,80.97,High,True,insider_trading
TRD0050678,TRD0388,CMP034,SIHG,2026-05-29 15:04:11,SELL,ETF,Limit,34429,316.81,10907451.49,0.9774,0.6475,1,15,1.2836,9999.0,293.23,False,0.9165,False,False,4,0.0718,0.1024,1.34,0.0094,0.1267,0.0058,5.34,Low,False,none
TRD0086998,TRD0207,CMP054,SCIM,2026-06-14 15:36:53,BUY,ETF,Stop-Loss,150601,158.58,23882306.58,8.7514,4.7101,3,14,1.6293,9999.0,19.66,False,2.8337,False,False,0,0.8163,0.5604,-3.61,0.9792,0.8539,0.5837,84.04,High,True,insider_trading
TRD0018196,TRD0162,CMP026,UGLJ,2025-12-09 14:14:46,BUY,ETF,Market,21111,1542.52,32564139.72,0.7886,1.2039,1,10,1.8273,340.94,934.16,False,-1.1429,False,False,4,0.053,0.2769,5.53,0.1259,0.0425,0.0329,10.2,Low,False,none
TRD0102634,TRD0369,CMP057,PNYK,2025-12-08 15:41:52,SELL,ETF,Limit,107621,60.61,6522908.81,4.3898,5.5932,4,2,2.2461,22.35,624.0,True,2.1625,False,False,1,1.0975,0.5509,1.95,0.7362,0.6204,0.8191,69.54,Medium,True,circular_trading
TRD0112395,TRD0228,CMP035,AQPF,2026-06-06 14:32:11,SELL,ETF,Limit,16395,1078.84,17687581.8,4.3394,4.993,3,4,3.5048,8.65,1124.34,True,2.1553,False,False,6,0.1823,0.2181,8.15,0.9209,0.4284,0.9412,70.59,High,True,insider_trading
TRD0114085,TRD0312,CMP025,JXOT,2025-11-08 12:07:25,SELL,Futures,Bracket Order,597542,213.09,127330224.78,9.7547,6.7489,1,10,2.7063,38.46,9999.0,True,3.2933,True,False,6,0.0634,0.7761,0.15,0.8798,0.7188,0.6396,78.51,High,True,insider_trading
TRD0015245,TRD0473,CMP017,FNLM,2026-03-18 12:33:44,SELL,Equity,Cover Order,35139,647.15,22740203.85,0.8953,0.151,1,5,0.7987,645.26,159.3,False,0.8645,False,False,6,0.0054,0.2398,2.72,0.2697,0.1161,0.0051,18.09,Low,False,none
TRD0110369,TRD0255,CMP055,NKNY,2026-01-07 14:30:30,BUY,ETF,Stop-Loss,96599,1097.08,105976830.92,3.1784,5.2338,1,14,3.1656,330.33,3.74,False,2.9196,False,False,0,0.2324,0.8046,-1.22,0.8637,0.8327,0.6863,82.19,High,True,layering
TRD0094008,TRD0369,CMP042,EKVN,2026-06-08 15:03:49,BUY,ETF,Market,170301,235.24,40061607.24,7.0326,6.065,2,11,1.6861,0.24,894.85,True,4.8485,False,False,7,0.7152,0.5509,1.15,0.891,0.9354,0.6686,83.7,High,True,layering
TRD0013954,TRD0385,CMP000,SPDZ,2026-01-24 16:59:03,SELL,Equity,Bracket Order,54675,483.53,26437002.75,4.5636,6.4749,2,17,1.9851,24.98,17.73,True,4.3804,False,True,0,0.0128,0.69,-0.5,0.7885,0.8813,0.9342,82.83,High,True,layering
TRD0068255,TRD0359,CMP044,UDJH,2025-11-25 12:01:27,SELL,Equity,Limit,8328,45.39,378007.92,1.4435,1.1732,2,20,1.8704,857.29,9999.0,False,-0.8174,False,False,0,0.0415,0.3502,-0.52,0.0674,0.0208,0.0534,7.96,Low,False,none
TRD0064533,TRD0359,CMP031,NGEI,2026-03-21 12:34:10,SELL,ETF,Stop-Loss,10484,441.08,4624282.72,1.4666,-0.6046,3,10,1.7473,326.82,1163.17,False,-0.0917,False,False,0,0.0483,0.3502,-0.44,0.0409,0.2388,0.0706,13.57,Low,False,none
